UF;CASOS
BA;1470
BA;966
BA;261
BA;1275
BA;746
BA;734
BA;1125
BA;573
BA;15991
BA;259
BA;911
BA;946
BA;811
BA;595
BA;2872
BA;2405
BA;1019
BA;1082
BA;1808
BA;895
BA;727
BA;1116
BA;822
BA;1890
BA;1465
BA;6704
BA;2419
BA;1014
BA;476
BA;666
BA;572
BA;1485
BA;426
BA;31424
BA;814
BA;797
BA;1605
BA;2717
CE;574
CE;2736
CE;4831
CE;3480
CE;699
CE;1638
CE;537
CE;1719
CE;2785
CE;680
CE;1140
CE;6307
CE;7276
CE;3910
CE;1196
CE;1252
CE;1278
CE;611
CE;1987
CE;1587
CE;498
CE;1899
CE;6125
CE;1434
CE;1654
CE;1173
CE;3896
CE;4663
CE;3315
CE;3807
CE;8082
CE;5969
CE;2265
CE;5180
CE;2195
CE;1588
CE;2344
CE;1327
CE;2162
CE;1680
CE;5798
CE;741
CE;1165
CE;21025
CE;3391
CE;1431
CE;1023
CE;1851
CE;2508
CE;12032
CE;15768
CE;972
CE;3475
CE;743
CE;802
CE;9204
CE;2510
CE;1382
CE;243740
CE;2032
CE;2920
CE;530
CE;1199
CE;3093
CE;420
CE;1664
CE;1534
CE;2310
CE;838
CE;2551
CE;7233
CE;1150
CE;1500
CE;1680
CE;2538
CE;6639
CE;9830
CE;1781
CE;1217
CE;1091
CE;4426
CE;2551
CE;2335
CE;1123
CE;1339
CE;4403
CE;3128
CE;10149
CE;2083
CE;3187
CE;1995
CE;1840
CE;974
CE;4186
CE;3498
CE;1651
CE;728
CE;2623
CE;26402
CE;1570
CE;2632
CE;6468
CE;1306
CE;20691
CE;11474
CE;1847
CE;1419
CE;2315
CE;3834
CE;1670
CE;2849
CE;1121
CE;1245
CE;2070
CE;3705
CE;1875
CE;8197
CE;1872
CE;1401
CE;1793
CE;1045
CE;1193
CE;3172
CE;1600
CE;1980
CE;3275
CE;5569
CE;5992
CE;1350
CE;604
CE;1340
CE;945
CE;4586
CE;2608
CE;1362
CE;984
CE;946
CE;724
CE;3625
CE;2069
CE;2058
CE;1690
CE;978
CE;765
CE;1501
CE;640
CE;707
CE;1560
CE;8859
CE;2251
CE;8763
CE;3651
CE;4774
CE;2617
CE;10071
CE;950
CE;1103
CE;5189
CE;2265
CE;1170
CE;3560
CE;6658
CE;739
CE;1267
CE;1971
CE;1133
CE;26238
CE;1418
CE;4909
CE;2072
CE;485
CE;7966
CE;1664
CE;8876
CE;1928
CE;1362
CE;1782
CE;437
CE;878
CE;1816
CE;1406
CE;2231
CE;3010
CE;4652
ES;3361
ES;803
ES;1883
ES;2274
ES;2331
ES;681
ES;4630
ES;789
ES;15299
ES;1452
ES;3386
ES;4626
ES;1520
ES;1029
ES;1594
ES;25693
ES;38609
ES;5739
ES;18782
ES;1687
ES;1371
ES;385
ES;3660
ES;687
ES;3037
ES;2511
ES;1895
ES;2611
ES;15201
ES;3389
ES;1665
ES;424
ES;2528
ES;1498
