estado;casos
Bahia;550
Bahia;579
Bahia;546
Bahia;6121
Bahia;5907
Bahia;1999
Bahia;1011
Bahia;574
Bahia;16121
Bahia;1810
Bahia;837
Bahia;795
Bahia;1615
Bahia;15618
Bahia;866
Bahia;609
Bahia;645
Bahia;292
Bahia;397
Bahia;585
Bahia;1643
Bahia;439
Bahia;289
Bahia;632
Bahia;254
Bahia;2034
Bahia;21032
Bahia;949
Bahia;282
Bahia;2527
Bahia;9397
Bahia;431
Bahia;873
Bahia;2094
Bahia;256
Bahia;2541
Bahia;255
Bahia;759
Bahia;1155
Bahia;372
Bahia;248
Bahia;1097
Bahia;162
Bahia;3169
Bahia;1914
Bahia;1547
Bahia;442
Bahia;791
Bahia;4024
Bahia;353
Bahia;2517
Bahia;2239
Bahia;472
Bahia;488
Bahia;446
Bahia;1133
Bahia;286
Bahia;2297
Bahia;608
Bahia;495
Bahia;3257
Bahia;599
Bahia;795
Bahia;863
Bahia;579
Bahia;2116
Bahia;1823
Bahia;2436
Bahia;585
Bahia;606
Bahia;597
Bahia;456
Bahia;587
Bahia;733
Bahia;195
Bahia;666
Bahia;2312
Bahia;284
Bahia;529
Bahia;1310
Bahia;657
Bahia;435
Bahia;1639
Bahia;639
Bahia;227
Bahia;499
Bahia;1117
Bahia;971
Bahia;875
Bahia;7596
Bahia;1392
Bahia;289
Bahia;490
Bahia;1285
Bahia;626
Bahia;750
Bahia;1538
Bahia;941
Bahia;764
Bahia;962
Bahia;671
Bahia;583
Bahia;1485
Bahia;3128
Bahia;3241
Bahia;621
Bahia;9342
Bahia;467
Bahia;1707
Bahia;1294
Bahia;651
Bahia;1584
Bahia;1376
Bahia;376
Bahia;792
Bahia;977
Bahia;1669
Bahia;1440
Bahia;1147
Bahia;3611
Bahia;1545
Bahia;887
Bahia;4734
Bahia;382
Bahia;532
Bahia;729
Bahia;163
Bahia;2394
Bahia;236
Bahia;2189
Bahia;1383
Bahia;217849
Bahia;1081
Bahia;868
Bahia;2289
Bahia;525
Bahia;601
Bahia;1026
Bahia;2029
Bahia;2227
Bahia;543
Bahia;2520
Bahia;346
Bahia;582
Bahia;2742
Bahia;11682
Bahia;3467
Bahia;2424
Bahia;932
Bahia;2522
Bahia;904
Bahia;787
Bahia;3344
Bahia;1616
Bahia;2205
Bahia;696
Bahia;418
Bahia;709
Bahia;3259
Bahia;1454
Bahia;638
Bahia;497
Bahia;488
Bahia;5274
Bahia;346
Bahia;4412
Bahia;917
Bahia;579
Bahia;470
Bahia;810
Bahia;6796
Bahia;1026
Bahia;8238
Bahia;192
Bahia;558
Bahia;1470
Bahia;966
Bahia;261
Bahia;1275
Bahia;746
Bahia;734
Bahia;1125
Bahia;573
Bahia;15991
Bahia;259
Bahia;911
Bahia;946
Bahia;811
Bahia;595
Bahia;2872
Bahia;2405
Bahia;1019
Bahia;1082
Bahia;1808
Bahia;895
Bahia;727
Bahia;1116
Bahia;822
Bahia;1890
Bahia;1465
Bahia;6704
Bahia;2419
Bahia;1014
Bahia;476
Bahia;666
Bahia;572
Bahia;1485
Bahia;426
Bahia;31424
Bahia;814
Bahia;797
Bahia;1605
Bahia;2717
Ceará;574
Ceará;2736
Ceará;4831
Ceará;3480
Ceará;699
Ceará;1638
Ceará;537
Ceará;1719
Ceará;2785
Ceará;680
Ceará;1140
Ceará;6307
Ceará;7276
Ceará;3910
Ceará;1196
Ceará;1252
Ceará;1278
Ceará;611
Ceará;1987
Ceará;1587
Ceará;498
Ceará;1899
Ceará;6125
Ceará;1434
Ceará;1654
Ceará;1173
Ceará;3896
